アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
ラン,2026-03-05 05:45:13,false,"美浜区 ラン","11.01","696","00:57:00","156","178","4.5","188","203","5:11","4:09","67","69","1.02","7.7","7.7","234","5:09","304","0.0","291","440","10,684","-18","いいえ","00:00:03.8","12","--","--","--","--","--","--","--","--","00:56:51","00:57:22","-2","11"
ラン,2026-03-03 05:30:05,false,"美浜区 ラン","12.03","757","01:09:41","138","148","3.3","186","204","5:48","4:25","21","24","0.93","8.2","7.5","245","5:49","265","0.0","262","366","12,906","-18","いいえ","00:00:08.9","13","--","--","--","--","--","--","--","--","01:09:06","01:09:41","3","10"
ラン,2026-03-01 04:39:01,false,"美浜区 ラン","21.16","1,314","02:01:20","137","157","3.8","180","189","5:44","3:26","40","44","0.96","8.3","8.0","249","5:44","273","0.0","271","436","21,832","-30","いいえ","00:00:53.9","22","--","--","--","--","--","--","--","--","02:01:06","02:08:11","-2","10"
ラン,2026-02-27 05:35:21,false,"美浜区 - Mペース持続走 (15km〜20km","19.02","1,233","01:33:08","161","190","5.0","184","192","4:54","4:10","31","29","1.10","7.5","8.3","233","4:53","321","0.0","315","423","17,076","-26","いいえ","00:00:07.0","20","--","--","--","--","--","--","--","--","01:32:59","01:33:14","0","9"
ラン,2026-02-26 06:09:43,false,"美浜区 ラン","7.94","506","00:51:44","126","139","2.8","184","190","6:31","5:33","10","19","0.83","8.7","7.2","254","6:32","237","0.0","235","346","9,480","-11","いいえ","00:02:23.6","9","--","--","--","--","--","--","--","--","00:51:43","00:51:44","-0","11"
ラン,2026-02-24 06:08:48,false,"美浜区 ラン","10.15","645","00:51:00","154","177","4.5","186","200","5:01","4:08","22","27","1.07","7.6","8.1","234","5:01","316","0.0","305","426","9,404","-20","いいえ","00:00:54.6","11","--","--","--","--","--","--","--","--","00:50:50","00:51:20","-3","10"
ラン,2026-02-22 06:47:17,false,"美浜区 ラン","14.19","886","01:17:42","140","171","3.9","183","190","5:28","4:09","18","21","1.00","8.1","8.0","244","5:28","282","0.0","278","391","14,082","-22","いいえ","00:01:11.4","15","--","--","--","--","--","--","--","--","01:17:33","01:18:28","-0","8"
ラン,2026-02-21 07:03:07,false,"美浜区 ラン","9.83","618","00:58:42","131","141","3.1","188","198","5:58","4:45","21","22","0.89","8.2","7.3","245","5:58","255","0.0","254","376","10,992","-13","いいえ","00:05:12.3","10","--","--","--","--","--","--","--","--","00:58:31","00:58:56","1","8"
ラン,2026-02-20 06:24:12,false,"美浜区 - ベース","5.45","350","00:30:48","137","145","3.0","188","198","5:39","5:14","17","15","0.94","7.9","7.4","240","5:38","269","0.0","267","437","5,804","-9","いいえ","00:02:36.4","6","--","--","--","--","--","--","--","--","00:30:47","00:30:55","0","9"
ラン,2026-02-18 06:50:54,false,"美浜区 - リカバリー","3.55","231","00:25:20","120","130","2.0","178","188","7:08","5:32","--","1","0.78","9.2","7.2","262","7:04","216","0.0","214","281","4,544","-6","いいえ","00:03:58.3","4","--","--","--","--","--","--","--","--","00:25:11","00:25:20","6","8"
